id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,addr_state,grade,total_paid
1009226,1235958,9500,9500,30 months,11.71,314.23,B3,Rent,46000,Verified,Nov-11,Fully Paid,Credit Card,Credit Card,NJ,B,11118.36144
130986,130983,2100,2100,30 months,7.12,64.96,A1,Rent,110000,Not Verified,Oct-07,Fully Paid,Debt Consolidation,Debt consolidation,MA,A,2338.44735
874928,1089431,9600,9600,30 months,5.99,292.01,A2,Mortgage,35360,Not Verified,Sep-11,Fully Paid,Debt Consolidation,Debt consolidation,PA,A,9949.010989
821358,1029696,8000,8000,60 months,10.99,173.9,B3,Mortgage,108000,Not Verified,Jul-11,Fully Paid,Other,Car Loan,MI,B,10280.85
825240,1034007,8000,8000,30 months,5.42,241.28,A1,Mortgage,21600,Verified,Jul-11,Fully Paid,Other,houseboat,PA,A,8686.02817
799187,1004353,5000,5000,30 months,16.89,178,D4,Rent,40500,Verified,Jul-11,Fully Paid,Other,15 years,NY,D,6407.54265
562972,723464,5000,5000,30 months,13.23,169.03,C1,Mortgage,45500,Not Verified,Aug-10,Fully Paid,Home Improvement,Home Improvement for married couple,PA,C,6085.213239
720543,915012,5600,5600,30 months,11.11,183.63,B5,Own,35000,Source Verified,Apr-11,Fully Paid,Debt Consolidation,Consolidation,AZ,B,6564.831951
404785,451761,6800,6800,30 months,7.68,212.1,A2,Rent,38112,Not Verified,Jul-09,Fully Paid,Debt Consolidation,debt consolidation,CO,A,7635.444359
728966,924698,25000,25000,30 months,11.11,819.78,B5,Rent,52000,Verified,Apr-11,Fully Paid,Small Business,Loan Needed for Printing Business,VA,B,29437.79758
406211,454707,9000,9000,30 months,9.32,287.53,A4,Mortgage,105000,Verified,May-09,Fully Paid,Other,Baby Expenses,VA,A,10231.66064
576847,741839,5500,5500,30 months,10.75,179.42,B2,Rent,64000,Source Verified,Sep-10,Fully Paid,Debt Consolidation,CD Consolidation Loan,CA,B,6171.813024
877787,1092506,5100,5100,60 months,19.29,133.12,E4,Rent,36000,Source Verified,Sep-11,Charged Off,Debt Consolidation,A little help needed,NY,E,2556.67
772265,974181,14200,14200,30 months,10.99,464.83,B3,Rent,92000,Not Verified,Jun-11,Fully Paid,Debt Consolidation,DebtFreeN3,GA,B,15542.2887
803032,1008756,19150,15850,30 months,6.99,489.33,A3,Mortgage,79100,Not Verified,Jul-11,Fully Paid,Credit Card,Credit Card Loan,PA,A,17615.86084
970574,1191842,3800,3800,30 months,10.65,123.78,B2,Mortgage,45000,Source Verified,Oct-11,Fully Paid,Other,Truck loan,NC,B,3890.775208
256856,256826,8000,8000,30 months,12.92,269.25,D2,Mortgage,84600,Not Verified,Feb-08,Fully Paid,Credit Card,Hot Water Heater and Roof Repair,WA,D,9567.276858
557851,718199,8500,8500,30 months,7.51,264.45,A4,Rent,64777.55,Not Verified,Aug-10,Fully Paid,Credit Card,Credit Card Refinance,TX,A,9351.773823
554118,713865,1700,1700,30 months,10.75,55.46,B2,Mortgage,90000,Not Verified,Jul-10,Fully Paid,Other,850T5 Moto Guzzi,NJ,B,1969.987665
352545,355730,7500,5600,30 months,10.33,181.57,B3,Rent,87000,Not Verified,Aug-08,Fully Paid,Other,Purchase a used boat,DC,B,6504.239578
803158,1008893,7350,7350,60 months,17.99,186.61,E1,Mortgage,36000,Source Verified,Jul-11,Fully Paid,Small Business,Business Purchase,AR,E,8592.740766
349251,350823,1600,1600,30 months,18.61,58.34,G5,Mortgage,124200,Not Verified,Jun-08,Fully Paid,Other,Short-Term Cash Issues,CO,G,2086.907122
1015459,1243117,1000,1000,30 months,16.29,35.31,D1,Mortgage,45727.2,Source Verified,Nov-11,Fully Paid,Other,Personal,IL,D,1270.716942
1032408,1261845,23800,23800,30 months,12.42,795.29,B4,Mortgage,47600,Verified,Nov-11,Fully Paid,Debt Consolidation,Consolidating Debt into One Monthly,OH,B,27800.45567
406279,454802,6000,6000,30 months,7.68,187.15,A2,Mortgage,46000,Source Verified,Jun-09,Fully Paid,Other,Wedding/Honeymoon Planning,MA,A,6737.144015
578937,744377,19600,19600,30 months,13.98,669.7,C3,Rent,9e+05,Source Verified,Sep-10,Fully Paid,Other,Wedding loan,NY,C,20482.86991
727656,923192,5000,5000,30 months,6.92,154.21,A3,Mortgage,1e+05,Not Verified,Apr-11,Fully Paid,Other,Sundancer,AL,A,5448.325747
874774,1089205,20950,20950,60 months,20.99,566.66,F3,Mortgage,46800,Verified,Sep-11,Fully Paid,Debt Consolidation,Business Debt Consolidation,AR,F,31809.90992
676308,864273,2725,2725,30 months,10.74,88.88,B4,Rent,31200,Source Verified,Mar-11,Fully Paid,Debt Consolidation,Lower Interest on Original LendingClub,MO,B,3071.408009
638927,818481,1775,1775,30 months,6.54,54.44,A4,Rent,40000,Not Verified,Dec-10,Fully Paid,Debt Consolidation,Debt Consolidation,OH,A,1884.621797
852755,1064869,1200,1200,30 months,6.03,36.53,A1,Mortgage,60000,Not Verified,Sep-11,Fully Paid,Other,Credit Card,OK,A,1314.79031
1064940,1298993,7800,7800,30 months,6.03,237.4,A1,Own,85000,Not Verified,Dec-11,Fully Paid,Other,Purchase,NV,A,8546.299999
968759,1109704,35000,35000,60 months,20.89,944.71,F1,Rent,1e+05,Verified,Oct-11,Fully Paid,Credit Card,Credit Card Consolidation Loan,WA,F,37742.4655
405012,452321,16000,16000,30 months,13.16,540.33,C3,Rent,320004,Verified,May-09,Fully Paid,Debt Consolidation,Personal Loan,NY,C,16836.8611
596747,766021,10000,10000,60 months,17.19,249.55,E3,Mortgage,60000,Source Verified,Oct-10,Fully Paid,Debt Consolidation,JD-01,CA,E,14972.86085
812517,1019680,6800,6800,30 months,10.59,221.31,B2,Mortgage,41600,Source Verified,Jul-11,Fully Paid,Debt Consolidation,Debt Consolidation Loan,FL,B,7966.962046
592598,761076,6250,6250,30 months,7.88,195.51,A5,Mortgage,76000,Verified,Oct-10,Fully Paid,Debt Consolidation,Wells,FL,A,7038.827843
992554,1217066,10000,10000,30 months,6.62,307.04,A2,Mortgage,57664,Not Verified,Oct-11,Fully Paid,Other,Medical Loan,IL,A,10643.44284
641207,820789,25000,25000,30 months,14.09,855.54,D1,Mortgage,96000,Verified,Jan-11,Fully Paid,Debt Consolidation,3tofree,GA,D,30800.10906
747338,946258,15000,15000,30 months,15.99,527.29,D2,Own,74000,Source Verified,May-11,Charged Off,Debt Consolidation,kloan,FL,D,14762.12
355721,360589,7500,6775,30 months,12.54,226.78,C5,Rent,87360,Verified,Sep-08,Fully Paid,Credit Card,Paying down high interest credit cards,VA,C,8164.006959
664740,849949,7200,7200,30 months,10.37,233.58,B3,Mortgage,53000,Not Verified,Feb-11,Fully Paid,Debt Consolidation,Loan1,FL,B,8409.762758
819701,1027848,4000,4000,30 months,12.99,134.76,C1,Mortgage,21600,Not Verified,Jul-11,Fully Paid,Debt Consolidation,consilidation,LA,C,4851.208773
740637,938383,6000,6000,60 months,11.49,131.93,B4,Mortgage,80000,Not Verified,Apr-11,Fully Paid,Credit Card,CC Refinance,CO,B,6333.872102
890704,1107457,6000,6000,30 months,11.71,198.46,B3,Rent,45000,Verified,Sep-11,Fully Paid,Debt Consolidation,Debt Consolidation,NY,B,6623.254175
852921,1065056,2400,2400,30 months,15.23,83.47,C5,Rent,57500,Source Verified,Aug-11,Fully Paid,Other,Moving,FL,C,3001.678239
620692,795505,20000,20000,30 months,16.32,706.31,E2,Rent,120000,Source Verified,Nov-10,Fully Paid,Debt Consolidation,Debt Consolidation,CA,E,25428.13974
784764,988011,10000,10000,60 months,20.25,266.34,F1,Rent,56000,Verified,Jun-11,Charged Off,Other,Wedding,CA,F,2135.09
776534,978891,1600,1600,30 months,13.49,54.29,C2,Rent,38400,Not Verified,Jun-11,Fully Paid,Debt Consolidation,rescue,CA,C,1954.383637
1037261,1267155,30000,30000,60 months,21.28,816.34,F2,Mortgage,75000,Verified,Dec-11,Fully Paid,Debt Consolidation,Pay off my bills!,CA,F,36821.63842
465466,584036,7200,7200,30 months,13.22,243.37,C2,Rent,60000,Not Verified,Dec-09,Fully Paid,Debt Consolidation,"Consolidate debt, simplify life",CA,C,8791.34027
822166,1030583,6400,6400,30 months,7.49,199.06,A4,Mortgage,103000,Not Verified,Jul-11,Fully Paid,Other,TSP Payment,CA,A,7153.512261
444504,542020,9000,9000,30 months,13.22,304.21,C2,Mortgage,58000,Not Verified,Oct-09,Fully Paid,Debt Consolidation,personal loan,UT,C,10951.58574
782574,985577,10000,10000,30 months,16.11,352.12,C5,Rent,42000,Not Verified,Jun-11,Fully Paid,Debt Consolidation,Good Bye Bills,MD,C,12676.0385
518127,669705,5000,5000,30 months,11.36,164.55,B5,Rent,135000,Verified,May-10,Fully Paid,Debt Consolidation,debt loan,NY,B,5924.527257
893561,1110704,9200,9200,60 months,16.77,227.51,D2,Rent,72000,Verified,Oct-11,Fully Paid,Credit Card,Help,CA,D,11184.07182
582846,748986,3000,3000,30 months,11.86,99.45,B5,Rent,35500,Not Verified,Sep-10,Fully Paid,Other,Money for School,CA,B,3545.778473
1051662,1282972,3600,3600,30 months,12.42,120.3,B4,Rent,37008,Source Verified,Dec-11,Fully Paid,Other,Personal,OH,B,3810.525195
1036416,1266088,2800,2800,30 months,10.65,91.21,B2,Mortgage,90000,Not Verified,Dec-11,Fully Paid,Other,medical bills,GA,B,3283.349552
640141,819480,1200,1200,60 months,12.23,26.84,C1,Mortgage,51912,Source Verified,Dec-10,Fully Paid,Debt Consolidation,L Tree,VA,C,1574.879295
766950,967982,5000,5000,60 months,10.99,108.69,B3,Mortgage,68400,Verified,May-11,Fully Paid,Other,Car,GA,B,6521.175945
520770,673279,15000,15000,30 months,12.73,503.47,C1,Rent,38004,Verified,May-10,Fully Paid,Debt Consolidation,To be Free and Clear of Debt,CA,C,18126.03487
755968,955863,8000,8000,30 months,11.99,265.68,B5,Rent,25000,Not Verified,May-11,Fully Paid,Debt Consolidation,Debt Consolidation Loan,AR,B,9183.083501
603211,774002,25000,25000,60 months,10.36,535.62,B5,Mortgage,80000,Verified,Oct-10,Fully Paid,Debt Consolidation,My Loan,CT,B,27939.32691
568400,731220,21000,21000,60 months,16.82,519.88,E2,Rent,105000,Verified,Aug-10,Fully Paid,Debt Consolidation,RDW DC Loan,UT,E,30481.14366
841864,1052459,25000,25000,60 months,20.62,671.01,F2,Mortgage,84000,Verified,Aug-11,Fully Paid,Debt Consolidation,Loan,MA,F,36286.79158
833037,1042571,28800,28800,30 months,7.49,895.73,A4,Rent,89000,Verified,Aug-11,Fully Paid,Other,Loan July 2011,CA,A,32212.95508
880082,1095043,4000,4000,30 months,8.9,127.02,A5,Rent,28000,Not Verified,Sep-11,Fully Paid,Debt Consolidation,Credit Card Consolidation Loan,CA,A,4380.757595
787050,990549,20000,14200,60 months,18.39,363.61,E2,Mortgage,73000,Verified,Jun-11,Fully Paid,Debt Consolidation,Debt Consolidation,FL,E,21816.22022
829429,1038532,6000,6000,30 months,12.99,202.14,C1,Rent,38000,Verified,Jul-11,Charged Off,Other,myloan,CA,C,1501.75
809393,1016204,9000,9000,30 months,5.99,273.76,A2,Rent,60000,Source Verified,Jul-11,Fully Paid,Debt Consolidation,DEBT PAYOFF,CA,A,9855.228631
428080,506214,5000,5000,30 months,15.05,173.46,D4,Rent,85000,Not Verified,Jul-09,Fully Paid,Other,Looking for help with my down payment.,PA,D,5657.087649
669167,855613,18150,18150,30 months,12.68,608.76,C1,Mortgage,88000,Source Verified,Feb-11,Fully Paid,Credit Card,CC Consolidation,OH,C,21915.56309
672391,852567,12000,12000,60 months,18.25,306.36,F1,Rent,67200,Source Verified,Feb-11,Charged Off,Other,Car Loan,CA,F,3375.01
813383,1020835,3250,3250,30 months,5.42,98.02,A1,Rent,30000,Source Verified,Jul-11,Fully Paid,Credit Card,Credit Card Consolidation,TX,A,3528.69893
747414,946341,9000,9000,30 months,10.99,294.61,B3,Own,178000,Verified,May-11,Fully Paid,Debt Consolidation,Debt Consolidation,AL,B,10512.23201
852809,1064929,33500,21200,60 months,21.74,582.4,F5,Rent,3e+05,Source Verified,Aug-11,Charged Off,Debt Consolidation,Debt Consolidation Loan,NY,F,3078.04
426544,503608,6500,6500,30 months,11.89,215.57,B4,Rent,84000,Not Verified,Jul-09,Fully Paid,Other,"bye, bye credit card",CT,B,7760.327145
989253,1213209,24000,24000,60 months,20.89,647.8,F1,Mortgage,115000,Source Verified,Oct-11,Charged Off,Debt Consolidation,loan,IL,F,4030.71
666941,852671,6500,6500,30 months,7.66,202.67,A5,Rent,21000,Not Verified,Feb-11,Fully Paid,Debt Consolidation,Loan,UT,A,7296.724512
512497,662153,8000,8000,30 months,10.62,260.48,B3,Own,65000,Not Verified,May-10,Fully Paid,Debt Consolidation,Personal Loan,FL,B,9378.227756
502625,646476,12000,12000,30 months,9.88,386.53,B1,Mortgage,64700,Not Verified,Apr-10,Fully Paid,Credit Card,Credit Card Consol,IL,B,12099.51
168479,167612,2400,2400,30 months,12.49,80.28,D3,Mortgage,41380,Not Verified,Dec-07,Charged Off,Home Improvement,HOME REPAIRS,MD,D,1309.19
910955,1131506,7000,7000,30 months,6.03,213.05,A1,Mortgage,52000,Not Verified,Oct-11,Fully Paid,Debt Consolidation,Debt Consolidation Loan,PA,A,7669.760001
845342,1056532,17000,17000,30 months,12.99,572.72,C1,Rent,170000,Source Verified,Sep-11,Fully Paid,Other,Car Loan,CA,C,20159.54881
430091,509872,10800,10800,30 months,12.84,363.08,C2,Mortgage,48000,Verified,Aug-09,Fully Paid,Credit Card,I want to pay off my credit cards,MD,C,13070.88267
657589,840974,3800,3800,30 months,15.28,132.25,D3,Rent,75000,Source Verified,Jan-11,Charged Off,Debt Consolidation,ESPN card,NY,D,3885.58
753181,952827,5000,5000,30 months,8.49,157.82,A5,Mortgage,105000,Not Verified,May-11,Fully Paid,Debt Consolidation,Home Improvement,UT,A,5681.296206
883314,1098572,6000,6000,30 months,7.9,187.75,A4,Own,16000,Source Verified,Sep-11,Fully Paid,Other,home improvementloan,MO,A,6758.660002
887527,1103700,10800,10800,30 months,7.51,336,A3,Mortgage,53000,Not Verified,Sep-11,Fully Paid,Credit Card,Credit Card and Farm Refinance,VA,A,12095.86961
1050226,1281449,31000,31000,30 months,19.42,1142.94,E3,Mortgage,180000,Source Verified,Dec-11,Fully Paid,Credit Card,Recon2012,CA,E,41145.36997
547882,706442,16000,16000,30 months,10.75,521.93,B2,Mortgage,117400,Verified,Jul-10,Fully Paid,Debt Consolidation,CT Consolidation Loan,MN,B,18695.58196
583754,750111,20000,20000,30 months,10.38,648.92,B1,Rent,51000,Source Verified,Sep-10,Fully Paid,Debt Consolidation,consoildation,NJ,B,23362.51479
607296,779082,25000,25000,30 months,20.03,929.48,G2,Mortgage,120000,Verified,Nov-10,Fully Paid,Debt Consolidation,Personal Loan,NY,G,33476.58466
599757,769823,17000,10875,60 months,6.91,214.88,A5,Mortgage,115000,Verified,Oct-10,Fully Paid,Debt Consolidation,Josh,MA,A,12666.66692
436243,521802,6000,6000,30 months,8.59,189.67,A4,Mortgage,52000,Verified,Aug-09,Fully Paid,Other,Adoption Loan,MI,A,6503.525518
498594,639582,2500,2500,30 months,10.99,81.84,B4,Rent,10000,Source Verified,Mar-10,Fully Paid,Other,HSP,CT,B,2946.325449
521401,674243,25000,15175,60 months,13.11,346.14,C2,Rent,85000,Verified,Jun-10,Fully Paid,Debt Consolidation,Consolidate My Debt,CT,C,20444.98291
620347,795103,6000,6000,30 months,6.17,183,A3,Mortgage,50000,Not Verified,Nov-10,Fully Paid,Debt Consolidation,Loan Steve,NH,A,6578.709197
740181,937842,9100,9100,60 months,17.14,226.85,E3,Mortgage,45000,Not Verified,Apr-11,Fully Paid,Other,Braces On & Wisdom Teeth Gone,CA,E,13508.11999
369529,385442,8500,8500,30 months,12.84,285.76,C2,Mortgage,130000,Verified,Jan-09,Fully Paid,Credit Card,Credit Card Refi,NV,C,10287.21255
1016532,1244245,12000,12000,30 months,9.91,386.7,B1,Mortgage,47500,Source Verified,Nov-11,Fully Paid,Debt Consolidation,Debt Consolidation Loan,MN,B,13645.4575
638683,818106,14400,14400,30 months,5.79,436.71,A2,Mortgage,125000,Source Verified,Dec-10,Fully Paid,Other,Tax loan,NC,A,15585.50772
857905,1070418,5000,5000,30 months,9.99,161.32,B1,Own,62236,Source Verified,Sep-11,Fully Paid,Home Improvement,PROGRESS,TX,B,5807.205108
602707,773310,16000,16000,60 months,15.2,382.33,D4,Rent,80000,Source Verified,Nov-10,Charged Off,Debt Consolidation,debt consolidation,CA,D,16242.3
526903,681590,12000,12000,30 months,7.51,373.33,A4,Mortgage,120000,Not Verified,Jun-10,Fully Paid,Other,Eileen,NJ,A,13096.30859
660364,844598,2400,2400,30 months,6.92,74.02,A3,Mortgage,81504,Not Verified,Jan-11,Fully Paid,Other,"2,400.00",CA,A,2571.78558
617188,791307,15000,10025,60 months,9.99,212.96,B4,Mortgage,136400,Source Verified,Nov-10,Fully Paid,Debt Consolidation,BigBlue72,CT,B,12777.00386
659199,843098,3500,3500,30 months,11.11,114.77,B5,Rent,25000,Verified,Jan-11,Fully Paid,Credit Card,Personal,NJ,B,4131.931619
523466,677279,4000,4000,60 months,7.88,80.88,A5,Mortgage,28800,Not Verified,Jun-10,Fully Paid,Other,dst1361,PA,A,4616.089874
833679,1043372,2000,2000,30 months,11.99,66.42,B5,Mortgage,64800,Not Verified,Aug-11,Fully Paid,Credit Card,Credit Card Loan,CA,B,2391.079843
629329,806299,4800,4800,30 months,13.35,162.55,C4,Rent,30000,Not Verified,Dec-10,Fully Paid,Credit Card,End of Year 2010 Loan,TX,C,5867.125121
763319,963882,5600,5600,30 months,10.99,183.32,B3,Own,91000,Source Verified,May-11,Fully Paid,Debt Consolidation,Loan for taxes,NJ,B,6599.108448
715837,909552,16000,16000,60 months,9.63,337.05,B1,Own,60000,Not Verified,Apr-11,Charged Off,Other,Other Loan,SC,B,15175.38
600667,770908,10500,10500,30 months,6.91,323.78,A5,Mortgage,68399,Source Verified,Oct-10,Fully Paid,Credit Card,CC Refi,UT,A,11280.80846
863466,1076543,10400,10400,30 months,5.99,316.35,A2,Mortgage,48000,Not Verified,Aug-11,Fully Paid,Debt Consolidation,loan em up,SC,A,10897.53141
829874,1039003,4575,4575,60 months,13.49,105.25,C2,Mortgage,54000,Source Verified,Jul-11,Fully Paid,Credit Card,FurloughLoan,CA,C,6265.960001
994128,1218531,6600,6600,30 months,14.27,226.44,C2,Mortgage,43000,Source Verified,Oct-11,Fully Paid,Debt Consolidation,DEBT CONSOLIDATION,CA,C,7845.331593
1023438,1252259,30000,30000,30 months,9.91,966.75,B1,Mortgage,110000,Verified,Nov-11,Fully Paid,Debt Consolidation,debt be gone,LA,B,34685.45601
820957,1029210,5600,5600,30 months,7.49,174.17,A4,Mortgage,60000,Source Verified,Jul-11,Fully Paid,Other,Wedding,PA,A,6270.083948
752580,932673,6600,6600,30 months,7.49,205.28,A4,Rent,29000,Verified,May-11,Fully Paid,Other,Personal,VA,A,7389.707091
424513,500303,7000,7000,30 months,10.95,229,B1,Rent,27720,Verified,Jul-09,Fully Paid,Debt Consolidation,Osvaldo Roque Loan,NY,B,7304.109792
607838,779722,8000,8000,30 months,15.57,279.57,D5,Own,84996,Source Verified,Nov-10,Fully Paid,Debt Consolidation,loan,CA,D,10064.76264
602729,773345,25000,25000,30 months,14.83,864.56,D3,Rent,70000,Verified,Oct-10,Fully Paid,Small Business,Swabing Project,CA,D,31125.40956
1063843,1282549,4000,4000,30 months,16.29,141.21,D1,Rent,35000,Not Verified,Dec-11,Fully Paid,Debt Consolidation,Pay Off Debt,CA,D,5055.326911
599200,769042,2500,2500,30 months,7.14,77.36,A3,Rent,26592,Source Verified,Oct-10,Charged Off,Debt Consolidation,Wendy's Loan,NJ,A,1974.79
433297,515975,10000,10000,30 months,11.14,328.04,B1,Mortgage,98400,Not Verified,Dec-09,Fully Paid,Credit Card,Refinance debt,NJ,B,11747.21266
